measurement_no,specimen_no,record_type,n_measured,position,measurement_type,average,min,max
151,76,mea,33,,length,29.42,,
152,76,mea,33,,width,20.48,,
22020,10998,mea,1,,diagonal,49.49,,
22021,10998,mea,1,,length,65.54,,
22022,10998,mea,1,,height,24.9,,
22023,10998,mea,1,,width,11.85,,
22024,10999,mea,1,,diagonal,59.26,,
22025,10999,mea,1,,length,80.45,,
22026,10999,mea,1,,height,27.68,,
22027,10999,mea,1,,width,15.35,,
22028,11000,mea,1,,diagonal,54.52,,
22029,11000,mea,1,,length,61.9,,
22030,11000,mea,1,,height,25.14,,
22031,11001,mea,1,,length,42.12,,
22032,11002,mea,1,,height,71.05,,
22033,11002,mea,1,,length,65.56,,
22034,11002,mea,1,,diagonal,71.05,,
22062,11013,mea,1,,length,50.36,,
22063,11013,mea,1,,height,19.96,,
22064,11013,mea,1,,diagonal,43.28,,
22065,11014,mea,1,,length,42.53,,
22066,11014,mea,1,,diagonal,35.18,,
22067,11014,mea,1,,height,17.91,,
22068,11015,mea,1,,width,23.76,,
22069,11015,mea,1,,height,58.3,,
22070,11015,mea,1,,diagonal,58.3,,
22071,11015,mea,1,,length,49.03,,
22072,11016,mea,1,,diagonal,51.27,,
22073,11016,mea,1,,length,49.87,,
22074,11016,mea,1,,height,51.27,,
22075,11017,mea,1,,diagonal,55.73,,
22076,11017,mea,1,,height,54.76,,
22077,11017,mea,1,,length,49.3,,
22078,11018,mea,1,,diagonal,57.51,,
22079,11018,mea,1,,height,57.51,,
22080,11018,mea,1,,length,57.7,,
22081,11019,mea,1,,diagonal,29.66,,
22082,11019,mea,1,,height,19.09,,
22083,11019,mea,1,,length,28.68,,
22084,11020,mea,1,,height,21.78,,
22085,11020,mea,1,,length,24.89,,
22086,11020,mea,1,,diagonal,25.87,,
22087,11021,mea,1,,length,25.9,,
22088,11021,mea,1,,diagonal,30.3,,
22089,11021,mea,1,,height,24.4,,
22090,11022,mea,1,,length,14.48,,
22091,11022,mea,1,,diagonal,16.3,,
22092,11022,mea,1,,height,13.92,,
22093,11023,mea,1,,diagonal,68.63,,
